post_title,sku,product_url,images
"Bồn cầu xổm hình chữ nhật Caesar C1250B",C1250B,,"https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bon-cau-xom-caesar-c1250b-740x740-1.jpg ! alt :  ! title : bon-cau-xom-caesar-c1250b-740x740-1.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/ban-ve-bon-cau-xom-caesar-c1250b-740x740-1.jpg ! alt :  ! title : ban-ve-bon-cau-xom-caesar-c1250b-740x740-1.jpg ! desc :  ! caption : "
"Bồn cầu xổm hình chữ nhật Caesar C1230B",C1230B,,"https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bon-cau-xom-caesar-c1230b-740x740-1.jpg ! alt :  ! title : bon-cau-xom-caesar-c1230b-740x740-1.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/ban-ve-bon-cau-xom-caesar-c1230b-740x740-1.jpg ! alt :  ! title : ban-ve-bon-cau-xom-caesar-c1230b-740x740-1.jpg ! desc :  ! caption : "
"Bồn cầu xổm kèm bộ xả Caesar C1250_BF446",C1250_BF446,,"https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bon-cau-caesar-C1250-740x740-1.jpg ! alt :  ! title : bon-cau-caesar-C1250-740x740-1.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/C1250BF446-740x740-1.jpg ! alt :  ! title : C1250BF446-740x740-1.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/ban-ve-cau-caesar-C1250-740x740-1.jpg ! alt :  ! title : ban-ve-cau-caesar-C1250-740x740-1.jpg ! desc :  ! caption : "
"Bồn cầu xổm kèm bộ xả Caesar C1230_BF449",C1230_BF449,,"https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bon-cau-caesar-C1230-740x740-1.jpg ! alt :  ! title : bon-cau-caesar-C1230-740x740-1.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/C1230BF449-740x740-1.jpg ! alt :  ! title : C1230BF449-740x740-1.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/C1230BF449a-740x740-1.jpg ! alt :  ! title : C1230BF449a-740x740-1.jpg ! desc :  ! caption : "
"Bồn cầu xổm kèm két nước treo tường T1100 Caesar CS1230",CS1230,,"https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bon-cau-caesar-CS1230-740x740-1.jpg ! alt :  ! title : bon-cau-caesar-CS1230-740x740-1.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/CS1230-740x740-1.jpg ! alt :  ! title : CS1230-740x740-1.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/CS1230a-740x740-1.jpg ! alt :  ! title : CS1230a-740x740-1.jpg ! desc :  ! caption : "
"Bồn cầu xổm kèm két nước treo tường T1110 Caesar CS1280",CS1280,,"https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bon-cau-caesar-CS1280-740x740-1.jpg ! alt :  ! title : bon-cau-caesar-CS1280-740x740-1.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/CS1280-740x740-1.jpg ! alt :  ! title : CS1280-740x740-1.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/ban-ve-caesar-CS1280-740x740-1.jpg ! alt :  ! title : ban-ve-caesar-CS1280-740x740-1.jpg ! desc :  ! caption : "
"Bồn cầu xổm kèm két nước treo tường T1113 Caesar CT1250",CT1250,,"https://dev.vuahoanthien.com/wp-content/uploads/2022/12/bon-cau-caesar-CT1250-740x740-1.jpg ! alt :  ! title : bon-cau-caesar-CT1250-740x740-1.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/CT1250-740x740-1.jpg ! alt :  ! title : CT1250-740x740-1.jpg ! desc :  ! caption :  | https://dev.vuahoanthien.com/wp-content/uploads/2022/12/ban-ve-bon-cau-caesar-CT1250-740x740-1.jpg ! alt :  ! title : ban-ve-bon-cau-caesar-CT1250-740x740-1.jpg ! desc :  ! caption : "
